PART,ARCH,FULLARCH,FAMILY,IDCODE,DEVICE
xc7vx550t_CIVffg1927-2,virtex7,Virtex-7,virtex7,0x03693093,xc7vx550t_CIV
xc7vx550t_CIVffg1927-2L,virtex7,Virtex-7,virtex7,0x03693093,xc7vx550t_CIV
xc7vx550t_CIVffg1927-3,virtex7,Virtex-7,virtex7,0x03693093,xc7vx550t_CIV
xc7vh580tflg1155-1,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580tflg1155-2,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580tflg1155-2G,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580tflg1155-2L,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580tflg1931-1,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580tflg1931-2,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580tflg1931-2G,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580tflg1931-2L,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580thcg1155-1,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580thcg1155-2,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580thcg1155-2G,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580thcg1155-2L,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580thcg1931-1,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580thcg1931-2,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580thcg1931-2G,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vh580thcg1931-2L,virtex7,Virtex-7,virtex7,0x036d9093,xc7vh580t
xc7vx690tffg1157-1,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1157-2,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1157-2L,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1157-3,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1158-1,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1158-2,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1158-2L,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1158-3,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1761-1,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1761-2,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1761-2L,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1761-3,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1926-1,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1926-2,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1926-2L,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1926-3,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1927-1,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1927-2,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1927-2L,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1927-3,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1930-1,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1930-2,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1930-2L,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690tffg1930-3,virtex7,Virtex-7,virtex7,0x03691093,xc7vx690t
xc7vx690t_CIVffg1157-1,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1157-2,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1157-2L,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1157-3,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1158-1,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1158-2,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1158-2L,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1158-3,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1761-1,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1761-2,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1761-2L,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1761-3,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1926-1,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1926-2,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1926-2L,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1926-3,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1927-1,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1927-2,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1927-2L,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1927-3,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1930-1,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1930-2,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1930-2L,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vx690t_CIVffg1930-3,virtex7,Virtex-7,virtex7,0x03694093,xc7vx690t_CIV
xc7vh870tflg1932-1,virtex7,Virtex-7,virtex7,0x036db093,xc7vh870t
xc7vh870tflg1932-2,virtex7,Virtex-7,virtex7,0x036db093,xc7vh870t
xc7vh870tflg1932-2G,virtex7,Virtex-7,virtex7,0x036db093,xc7vh870t
xc7vh870tflg1932-2L,virtex7,Virtex-7,virtex7,0x036db093,xc7vh870t
xc7vh870thcg1932-1,virtex7,Virtex-7,virtex7,0x036db093,xc7vh870t
xc7vh870thcg1932-2,virtex7,Virtex-7,virtex7,0x036db093,xc7vh870t
xc7vh870thcg1932-2G,virtex7,Virtex-7,virtex7,0x036db093,xc7vh870t
xc7vh870thcg1932-2L,virtex7,Virtex-7,virtex7,0x036db093,xc7vh870t
xc7vx980tffg1926-1,virtex7,Virtex-7,virtex7,0x03696093,xc7vx980t
xc7vx980tffg1926-2,virtex7,Virtex-7,virtex7,0x03696093,xc7vx980t
xc7vx980tffg1926-2L,virtex7,Virtex-7,virtex7,0x03696093,xc7vx980t
xc7vx980tffg1928-1,virtex7,Virtex-7,virtex7,0x03696093,xc7vx980t
xc7vx980tffg1928-2,virtex7,Virtex-7,virtex7,0x03696093,xc7vx980t
xc7vx980tffg1928-2L,virtex7,Virtex-7,virtex7,0x03696093,xc7vx980t
xc7vx980tffg1930-1,virtex7,Virtex-7,virtex7,0x03696093,xc7vx980t
xc7vx980tffg1930-2,virtex7,Virtex-7,virtex7,0x03696093,xc7vx980t
xc7vx980tffg1930-2L,virtex7,Virtex-7,virtex7,0x03696093,xc7vx980t
xc7vx1140tflg1926-1,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1926-2,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1926-2G,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1926-2L,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1928-1,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1928-2,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1928-2G,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1928-2L,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1930-1,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1930-2,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1930-2G,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7vx1140tflg1930-2L,virtex7,Virtex-7,virtex7,0x036d5093,xc7vx1140t
xc7v2000tflg1925-1,virtex7,Virtex-7,virtex7,0x036b3093,xc7v2000t
xc7v2000tflg1925-2,virtex7,Virtex-7,virtex7,0x036b3093,xc7v2000t
xc7v2000tflg1925-2G,virtex7,Virtex-7,virtex7,0x036b3093,xc7v2000t
xc7v2000tflg1925-2L,virtex7,Virtex-7,virtex7,0x036b3093,xc7v2000t
xc7v2000tfhg1761-1,virtex7,Virtex-7,virtex7,0x036b3093,xc7v2000t
xc7v2000tfhg1761-2,virtex7,Virtex-7,virtex7,0x036b3093,xc7v2000t
xc7v2000tfhg1761-2G,virtex7,Virtex-7,virtex7,0x036b3093,xc7v2000t
xc7v2000tfhg1761-2L,virtex7,Virtex-7,virtex7,0x036b3093,xc7v2000t
xq7vx330trf1157-1I,virtex7,Virtex-7,qvirtex7,0x03667093,xq7vx330t
xq7vx330trf1157-1M,virtex7,Virtex-7,qvirtex7,0x03667093,xq7vx330t
xq7vx330trf1157-2I,virtex7,Virtex-7,qvirtex7,0x03667093,xq7vx330t
xq7vx330trf1157-2L,virtex7,Virtex-7,qvirtex7,0x03667093,xq7vx330t
xq7vx330trf1761-1I,virtex7,Virtex-7,qvirtex7,0x03667093,xq7vx330t
xq7vx330trf1761-1M,virtex7,Virtex-7,qvirtex7,0x03667093,xq7vx330t
xq7vx330trf1761-2I,virtex7,Virtex-7,qvirtex7,0x03667093,xq7vx330t
xq7vx330trf1761-2L,virtex7,Virtex-7,qvirtex7,0x03667093,xq7vx330t
xq7vx485trf1761-1I,virtex7,Virtex-7,qvirtex7,0x03687093,xq7vx485t
xq7vx485trf1761-1M,virtex7,Virtex-7,qvirtex7,0x03687093,xq7vx485t
xq7vx485trf1761-2I,virtex7,Virtex-7,qvirtex7,0x03687093,xq7vx485t
xq7vx485trf1761-2L,virtex7,Virtex-7,qvirtex7,0x03687093,xq7vx485t
xq7vx485trf1930-1I,virtex7,Virtex-7,qvirtex7,0x03687093,xq7vx485t
xq7vx485trf1930-1M,virtex7,Virtex-7,qvirtex7,0x03687093,xq7vx485t
xq7vx485trf1930-2I,virtex7,Virtex-7,qvirtex7,0x03687093,xq7vx485t
xq7vx485trf1930-2L,virtex7,Virtex-7,qvirtex7,0x03687093,xq7vx485t
xq7v585trf1761-1I,virtex7,Virtex-7,qvirtex7,0x03671093,xq7v585t
xq7v585trf1761-1M,virtex7,Virtex-7,qvirtex7,0x03671093,xq7v585t
xq7v585trf1761-2I,virtex7,Virtex-7,qvirtex7,0x03671093,xq7v585t
xq7v585trf1761-2L,virtex7,Virtex-7,qvirtex7,0x03671093,xq7v585t
xq7v585trf1157-1I,virtex7,Virtex-7,qvirtex7,0x03671093,xq7v585t
xq7v585trf1157-1M,virtex7,Virtex-7,qvirtex7,0x03671093,xq7v585t
xq7v585trf1157-2I,virtex7,Virtex-7,qvirtex7,0x03671093,xq7v585t
xq7v585trf1157-2L,virtex7,Virtex-7,qvirtex7,0x03671093,xq7v585t
xq7vx690trf1157-1I,virtex7,Virtex-7,qvirtex7,0x03691093,xq7vx690t
xq7vx690trf1157-2I,virtex7,Virtex-7,qvirtex7,0x03691093,xq7vx690t
xq7vx690trf1158-1I,virtex7,Virtex-7,qvirtex7,0x03691093,xq7vx690t
xq7vx690trf1158-2I,virtex7,Virtex-7,qvirtex7,0x03691093,xq7vx690t
xq7vx690trf1761-1I,virtex7,Virtex-7,qvirtex7,0x03691093,xq7vx690t
xq7vx690trf1761-2I,virtex7,Virtex-7,qvirtex7,0x03691093,xq7vx690t
